#query_id	query_length	cdd_id	hit_id	evalue	startQ	endQ	frame	description	superkingdom	no rank	family	genus
"SRR10518885_0"	"7005"	"pfam00454"	"gnl|CDD|306869"	"3.10049e-89"	"516"	"1268"	"-2"	"pfam00454, PI3_PI4_kinase, Phosphatidylinositol 3- and 4-kinase.  Some members of this family probably do not have lipid kinase activity and are protein kinases."	"Eukaryota(0.98);Viruses(0.02);"	"(0.98);Retro-transcribing viruses(0.02);"	"Saccharomycetaceae(0.17);Brassicaceae(0.17);Schizosaccharomycetaceae(0.10);Muridae(0.07);Drosophilidae(0.07);"	"Saccharomyces(0.17);Arabidopsis(0.17);Schizosaccharomyces(0.10);Drosophila(0.07);Caenorhabditis(0.07);"
"SRR10518885_0"	"7005"	"pfam02259"	"gnl|CDD|308074"	"3.43482e-64"	"2238"	"2969"	"-2"	"pfam02259, FAT, FAT domain.  The FAT domain is named after FRAP, ATM and TRRAP."	"Eukaryota(1.00);"	"(1.00);"	"Schizosaccharomycetaceae(0.13);Saccharomycetaceae(0.13);Muridae(0.07);Aspergillaceae(0.07);Hominidae(0.04);"	"Schizosaccharomyces(0.13);Mus(0.07);Xenopus(0.04);Aspergillus(0.04);Nakaseomyces(0.04);"
"SRR10518885_0"	"7005"	"pfam11865"	"gnl|CDD|338141"	"4.16435e-58"	"4497"	"5003"	"-2"	"pfam11865, DUF3385, Domain of unknown function (DUF3385).  This domain is functionally uncharacterized. This domain is found in eukaryotes. This presumed domain is typically between 160 to 172 amino acids in length. This domain is found associated with pfam00454, pfam02260, pfam02985, pfam02259 and pfam08771."	"Eukaryota(1.00);"	"(1.00);"	"Saccharomycetaceae(0.11);(0.09);Trypanosomatidae(0.07);Schizosaccharomycetaceae(0.03);Agaricaceae(0.02);"	"Trypanosoma(0.04);Schizosaccharomyces(0.03);Kazachstania(0.03);Naumovozyma(0.02);Leishmania(0.02);"
"SRR10518885_0"	"7005"	"pfam08771"	"gnl|CDD|337195"	"4.14694e-51"	"1473"	"1778"	"-2"	"pfam08771, FRB_dom, FKBP12-rapamycin binding domain.  The macrolide antibiotic rapamycin and the cytosol protein FKBP12 can form a complex which specifically inhibits the TORC1 complex, leading to growth arrest. The FKBP12-rapamycin complex interferes with TORC1 function by binding to the FKBP12-rapamycin binding domain (FRB) of the TOR proteins. This entry represents the FRB domain."	"Eukaryota(1.00);"	"(1.00);"	"Trichomonadidae(0.11);(0.11);Saccharomycetaceae(0.07);Trypanosomatidae(0.04);Schizosaccharomycetaceae(0.03);"	"Trichomonas(0.11);Naumovozyma(0.03);Schizosaccharomyces(0.03);Reticulomyxa(0.02);Leishmania(0.02);"
"SRR10518885_0"	"7005"	"pfam02260"	"gnl|CDD|334866"	"1.11045e-11"	"96"	"188"	"-2"	"pfam02260, FATC, FATC domain.  The FATC domain is named after FRAP, ATM, TRRAP C-terminal. The solution structure of the FATC domain suggests it plays a role in redox-dependent structural and cellular stability."	"Eukaryota(1.00);"	"(1.00);"	"Trichomonadidae(0.10);(0.09);Saccharomycetaceae(0.06);Debaryomycetaceae(0.03);Schizosaccharomycetaceae(0.03);"	"Trichomonas(0.10);Schizosaccharomyces(0.03);Dictyostelium(0.02);Caenorhabditis(0.02);Phytophthora(0.01);"
"SRR10518885_1"	"6043"	"pfam02364"	"gnl|CDD|308141"	"0"	"3479"	"5746"	"2"	"pfam02364, Glucan_synthase, 1,3-beta-glucan synthase component.  This family consists of various 1,3-beta-glucan synthase components including Gls1, Gls2 and Gls3 from yeast. 1,3-beta-glucan synthase EC:2.4.1.34 also known as callose synthase catalyzes the formation of a beta-1,3-glucan polymer that is a major component of the fungal cell wall. The reaction catalyzed is:- UDP-glucose + {(1,3)-beta-D-glucosyl}(N) <=> UDP + {(1,3)-beta-D-glucosyl}(N+1)."	"Eukaryota(1.00);"	"(1.00);"	"Saccharomycetaceae(0.24);Debaryomycetaceae(0.19);Schizosaccharomycetaceae(0.07);Phaffomycetaceae(0.04);Poaceae(0.04);"	"Schizosaccharomyces(0.07);Eremothecium(0.04);Candida(0.04);Arabidopsis(0.03);Meyerozyma(0.03);"
"SRR10518885_1"	"6043"	"pfam14288"	"gnl|CDD|339145"	"1.24452e-64"	"1289"	"1630"	"2"	"pfam14288, FKS1_dom1, 1,3-beta-glucan synthase subunit FKS1, domain-1.  The FKS1_dom1 domain is likely to be the 'Class I' region just N-terminal to the first set of transmembrane helices that is involved in 1,3-beta-glucan synthesis itself. This family is found on proteins with family Glucan_synthase, pfam02364."	"Eukaryota(1.00);"	"(1.00);"	"Saccharomycetaceae(0.18);Funariaceae(0.12);Poaceae(0.10);Brassicaceae(0.10);Vitaceae(0.06);"	"Physcomitrella(0.12);Amborella(0.06);Oryza(0.06);Vitis(0.06);Brassica(0.06);"
"SRR10518885_1"	"6043"	"pfam04652"	"gnl|CDD|309683"	"3.43298e-17"	"476"	"859"	"2"	"pfam04652, Vta1, Vta1 like.  Vta1 (VPS20-associated protein 1) is a positive regulator of Vps4. Vps4 is an ATPase that is required in the multivesicular body (MVB) sorting pathway to dissociate the endosomal sorting complex required for transport (ESCRT). Vta1 promotes correct assembly of Vps4 and stimulates its ATPase activity through its conserved Vta1/SBP1/LIP5 region."	"Eukaryota(1.00);"	"(1.00);"	"Saccharomycetaceae(0.09);(0.08);Debaryomycetaceae(0.08);Aspergillaceae(0.02);Mamiellaceae(0.02);"	"Candida(0.03);Micromonas(0.02);Schizosaccharomyces(0.02);Plasmodium(0.01);Naumovozyma(0.01);"
"SRR10518885_10"	"4766"	"pfam00063"	"gnl|CDD|306553"	"0"	"293"	"2260"	"2"	"pfam00063, Myosin_head, Myosin head (motor domain).  "	"Eukaryota(1.00);"	"(1.00);"	"Saccharomycetaceae(0.25);(0.25);Rhabditidae(0.17);Drosophilidae(0.17);Bovidae(0.08);"	"Dictyostelium(0.25);Saccharomyces(0.25);Drosophila(0.17);Caenorhabditis(0.17);Bos(0.08);"
"SRR10518885_10"	"4766"	"pfam01843"	"gnl|CDD|334706"	"1.95107e-34"	"4220"	"4528"	"2"	"pfam01843, DIL, DIL domain.  The DIL domain has no known function."	"Eukaryota(1.00);"	"(1.00);"	"(0.13);Saccharomycetaceae(0.05);Schizosaccharomycetaceae(0.04);Poaceae(0.04);Brassicaceae(0.03);"	"Dictyostelium(0.07);Schizosaccharomyces(0.04);Entamoeba(0.03);Astyanax(0.02);Danio(0.02);"
"SRR10518885_10"	"4766"	"pfam02736"	"gnl|CDD|335068"	"4.44337e-08"	"131"	"247"	"2"	"pfam02736, Myosin_N, Myosin N-terminal SH3-like domain.  This domain has an SH3-like fold. It is found at the N-terminus of many but not all myosins. The function of this domain is unknown."	"Eukaryota(1.00);"	"(1.00);"	"Rhabditidae(0.05);(0.04);Poaceae(0.04);Brassicaceae(0.03);Pipidae(0.03);"	"Caenorhabditis(0.05);Xenopus(0.03);Branchiostoma(0.03);Astyanax(0.03);Oreochromis(0.03);"
"SRR10518885_10"	"4766"	"pfam15921"	"gnl|CDD|318193"	"8.98706e-06"	"2498"	"3457"	"2"	"pfam15921, CCDC158, Coiled-coil domain-containing protein 158.  CCDC158 is a family of proteins found in eukaryotes. The function is not known."	"Eukaryota(1.00);"	"(1.00);"	"Cercopithecidae(0.33);Vespertilionidae(0.33);Bathyergidae(0.33);"	"Heterocephalus(0.33);Macaca(0.33);Myotis(0.33);"
"SRR10518885_100"	"3060"	"pfam13620"	"gnl|CDD|338854"	"6.69057e-09"	"502"	"741"	"1"	"pfam13620, CarboxypepD_reg, Carboxypeptidase regulatory-like domain.  "	"Bacteria(0.82);Eukaryota(0.13);Archaea(0.05);"	"(1.00);"	"Acidobacteriaceae(0.11);Gemmatimonadaceae(0.09);Flavobacteriaceae(0.09);Cytophagaceae(0.06);(0.05);"	"Acidobacterium(0.11);Gemmatimonas(0.09);Chitinophaga(0.04);Flavobacterium(0.04);Dyadobacter(0.03);"
"SRR10518885_100"	"3060"	"pfam13620"	"gnl|CDD|338854"	"2.41397e-06"	"1102"	"1302"	"1"	"pfam13620, CarboxypepD_reg, Carboxypeptidase regulatory-like domain.  "	"Bacteria(0.82);Eukaryota(0.13);Archaea(0.05);"	"(1.00);"	"Acidobacteriaceae(0.11);Gemmatimonadaceae(0.09);Flavobacteriaceae(0.09);Cytophagaceae(0.06);(0.05);"	"Acidobacterium(0.11);Gemmatimonas(0.09);Chitinophaga(0.04);Flavobacterium(0.04);Dyadobacter(0.03);"
"SRR10518885_1000"	"1749"	"pfam14288"	"gnl|CDD|339145"	"2.47025e-68"	"849"	"1190"	"3"	"pfam14288, FKS1_dom1, 1,3-beta-glucan synthase subunit FKS1, domain-1.  The FKS1_dom1 domain is likely to be the 'Class I' region just N-terminal to the first set of transmembrane helices that is involved in 1,3-beta-glucan synthesis itself. This family is found on proteins with family Glucan_synthase, pfam02364."	"Eukaryota(1.00);"	"(1.00);"	"Saccharomycetaceae(0.18);Funariaceae(0.12);Poaceae(0.10);Brassicaceae(0.10);Vitaceae(0.06);"	"Physcomitrella(0.12);Amborella(0.06);Oryza(0.06);Vitis(0.06);Brassica(0.06);"
"SRR10518885_1000"	"1749"	"pfam04652"	"gnl|CDD|309683"	"9.67271e-08"	"63"	"215"	"3"	"pfam04652, Vta1, Vta1 like.  Vta1 (VPS20-associated protein 1) is a positive regulator of Vps4. Vps4 is an ATPase that is required in the multivesicular body (MVB) sorting pathway to dissociate the endosomal sorting complex required for transport (ESCRT). Vta1 promotes correct assembly of Vps4 and stimulates its ATPase activity through its conserved Vta1/SBP1/LIP5 region."	"Eukaryota(1.00);"	"(1.00);"	"Saccharomycetaceae(0.09);(0.08);Debaryomycetaceae(0.08);Aspergillaceae(0.02);Mamiellaceae(0.02);"	"Candida(0.03);Micromonas(0.02);Schizosaccharomyces(0.02);Plasmodium(0.01);Naumovozyma(0.01);"
"SRR10518885_1001"	"1749"	"pfam13041"	"gnl|CDD|338590"	"1.2231e-06"	"1547"	"1726"	"2"	"pfam13041, PPR_2, PPR repeat family.  This repeat has no known function. It is about 35 amino acids long and is found in up to 18 copies in some proteins. The family appears to be greatly expanded in plants and fungi. The repeat has been called PPR."	"Eukaryota(1.00);"	"(1.00);"	"Poaceae(0.25);Brassicaceae(0.20);Euphorbiaceae(0.14);Salicaceae(0.12);Vitaceae(0.09);"	"Arabidopsis(0.19);Ricinus(0.14);Oryza(0.14);Populus(0.12);Vitis(0.09);"
"SRR10518885_1002"	"1748"	"pfam00069"	"gnl|CDD|333812"	"8.01712e-81"	"286"	"1149"	"-3"	"pfam00069, Pkinase, Protein kinase domain.  "	"Eukaryota(1.00);"	"(1.00);"	"Saccharomycetaceae(0.34);Muridae(0.16);Schizosaccharomycetaceae(0.12);Hominidae(0.09);Fabaceae(0.06);"	"Saccharomyces(0.34);Schizosaccharomyces(0.12);Rattus(0.09);Drosophila(0.06);Glycine(0.06);"
"SRR10518885_1002"	"1748"	"pfam13426"	"gnl|CDD|338733"	"8.77042e-20"	"1405"	"1707"	"-3"	"pfam13426, PAS_9, PAS domain.  "	"Bacteria(0.75);Eukaryota(0.21);Archaea(0.04);"	"(1.00);"	"Trichomonadidae(0.07);Desulfovibrionaceae(0.05);Geobacteraceae(0.04);Bacillaceae(0.04);Vahlkampfiidae(0.04);"	"Trichomonas(0.07);Desulfovibrio(0.05);Naegleria(0.04);Geobacter(0.04);Vibrio(0.03);"
"SRR10518885_1003"	"1748"	"pfam10367"	"gnl|CDD|313569"	"1.29954e-39"	"953"	"1282"	"2"	"pfam10367, Vps39_2, Vacuolar sorting protein 39 domain 2.  This domain is found on the vacuolar sorting protein Vps39 which is a component of the C-Vps complex. Vps39 is thought to be required for the fusion of endosomes and other types of transport intermediates with the vacuole. In Saccharomyces cerevisiae, Vps39 has been shown to stimulate nucleotide exchange. This domain is involved in localization and in mediating the interactions of Vps39 with Vps11."	"Eukaryota(1.00);"	"(1.00);"	"Poaceae(0.13);Dipodascaceae(0.07);Muridae(0.07);Debaryomycetaceae(0.07);Hominidae(0.07);"	"Oryza(0.13);Mus(0.07);Homo(0.07);Cryptococcus(0.07);Arabidopsis(0.07);"
"SRR10518885_1003"	"1748"	"pfam10366"	"gnl|CDD|313568"	"4.00703e-11"	"2"	"169"	"2"	"pfam10366, Vps39_1, Vacuolar sorting protein 39 domain 1.  This domain is found on the vacuolar sorting protein Vps39 which is a component of the C-Vps complex. Vps39 is thought to be required for the fusion of endosomes and other types of transport intermediates with the vacuole. In Saccharomyces cerevisiae, Vps39 has been shown to stimulate nucleotide exchange. The precise function of this domain has not been characterized."	"Eukaryota(1.00);"	"(1.00);"	"Saccharomycetaceae(0.24);Debaryomycetaceae(0.12);Culicidae(0.06);Camelidae(0.06);Sordariaceae(0.06);"	"Eremothecium(0.06);Drosophila(0.06);Kluyveromyces(0.06);Neurospora(0.06);Anopheles(0.06);"
"SRR10518885_1004"	"1747"	"pfam00443"	"gnl|CDD|334078"	"6.09582e-43"	"552"	"1445"	"-3"	"pfam00443, UCH, Ubiquitin carboxyl-terminal hydrolase.  "	"Eukaryota(1.00);"	"(1.00);"	"Saccharomycetaceae(0.29);Rhabditidae(0.13);Brassicaceae(0.13);Schizosaccharomycetaceae(0.12);Hominidae(0.08);"	"Saccharomyces(0.27);Arabidopsis(0.13);Caenorhabditis(0.13);Schizosaccharomyces(0.12);Mus(0.06);"
