#query_id	query_length	cdd_id	hit_id	evalue	startQ	endQ	frame	description	superkingdom	no rank	family	genus
"SRR10518967_0"	"8720"	"pfam01660"	"gnl|CDD|366745"	"3.68867e-95"	"7605"	"8543"	"-1"	"pfam01660, Vmethyltransf, Viral methyltransferase.  This RNA methyltransferase domain is found in a wide range of ssRNA viruses, including Hordei-, Tobra-, Tobamo-, Bromo-, Clostero- and Caliciviruses. This methyltransferase is involved in mRNA capping. Capping of mRNA enhances its stability. This usually occurs in the nucleus. Therefore, many viruses that replicate in the cytoplasm encode their own. This is a specific guanine-7-methyltransferase domain involved in viral mRNA cap0 synthesis. Specificity for guanine 7 position is shown by NMR in and in vivo role in cap synthesis. Based on secondary structure prediction, the basic fold is believed to be similar to the common AdoMet-dependent methyltransferase fold. A curious feature of this methyltransferase domain is that it together with flanking sequences seems to have guanylyltransferase activity coupled to the methyltransferase activity. The domain is found throughout the so-called Alphavirus superfamily, (including alphaviruses and several other groups). It forms the defining, unique feature of this superfamily."	"Viruses(1.00);"	"ssRNA viruses(1.00);"	"Betaflexiviridae(0.23);Alphaflexiviridae(0.21);Virgaviridae(0.15);Tymoviridae(0.14);Bromoviridae(0.10);"	"Potexvirus(0.16);Carlavirus(0.11);Tymovirus(0.08);Alphavirus(0.07);Tobamovirus(0.07);"
"SRR10518967_0"	"8720"	"pfam00978"	"gnl|CDD|250270"	"1.66034e-54"	"2226"	"3353"	"-1"	"pfam00978, RdRP_2, RNA dependent RNA polymerase.  This family may represent an RNA dependent RNA polymerase. The family also contains the following proteins: 2A protein from bromoviruses putative RNA dependent RNA polymerase from tobamoviruses Non structural polyprotein from togaviruses."	"Viruses(1.00);"	"ssRNA viruses(1.00);"	"Bromoviridae(0.31);Virgaviridae(0.29);Togaviridae(0.20);Closteroviridae(0.14);(0.03);"	"Alphavirus(0.20);Tobamovirus(0.11);Cucumovirus(0.09);Bromovirus(0.09);Ilarvirus(0.09);"
"SRR10518967_0"	"8720"	"pfam00286"	"gnl|CDD|278703"	"9.85763e-46"	"328"	"681"	"-3"	"pfam00286, Flexi_CP, Viral coat protein.  Family includes coat proteins from Potexviruses and carlaviruses."	"Viruses(1.00);"	"ssRNA viruses(1.00);"	"Alphaflexiviridae(0.62);Betaflexiviridae(0.38);"	"Botrexvirus(0.12);Carlavirus(0.12);Allexivirus(0.12);Potexvirus(0.12);Mandarivirus(0.12);"
"SRR10518967_0"	"8720"	"pfam01443"	"gnl|CDD|366646"	"6.99075e-45"	"1494"	"2084"	"-1"	"pfam01443, Viral_helicase1, Viral (Superfamily 1) RNA helicase.  Helicase activity for this family has been demonstrated and NTPase activity. This helicase has multiple roles at different stages of viral RNA replication, as dissected by mutational analysis."	"Viruses(1.00);"	"ssRNA viruses(0.99);unclassified viruses(0.01);"	"Alphaflexiviridae(0.36);Virgaviridae(0.24);Betaflexiviridae(0.15);Tymoviridae(0.10);Bromoviridae(0.07);"	"Potexvirus(0.26);Allexivirus(0.10);Carlavirus(0.08);Tymovirus(0.08);Tobamovirus(0.08);"
"SRR10518967_0"	"8720"	"pfam01443"	"gnl|CDD|366646"	"1.51874e-06"	"4155"	"4616"	"-1"	"pfam01443, Viral_helicase1, Viral (Superfamily 1) RNA helicase.  Helicase activity for this family has been demonstrated and NTPase activity. This helicase has multiple roles at different stages of viral RNA replication, as dissected by mutational analysis."	"Viruses(1.00);"	"ssRNA viruses(0.99);unclassified viruses(0.01);"	"Alphaflexiviridae(0.36);Virgaviridae(0.24);Betaflexiviridae(0.15);Tymoviridae(0.10);Bromoviridae(0.07);"	"Potexvirus(0.26);Allexivirus(0.10);Carlavirus(0.08);Tymovirus(0.08);Tobamovirus(0.08);"
"SRR10518967_0"	"8720"	"pfam05379"	"gnl|CDD|283122"	"1.9474e-21"	"4866"	"5126"	"-1"	"pfam05379, Peptidase_C23, Carlavirus endopeptidase.  A peptidase involved in auto-proteolysis of a polyprotein from the plant pathogen blueberry scorch carlavirus (BBScV). Corresponds to Merops family C23."	"Viruses(1.00);"	"ssRNA viruses(1.00);"	"Betaflexiviridae(1.00);"	"Carlavirus(0.33);Citrivirus(0.33);Foveavirus(0.33);"
"SRR10518967_1"	"8714"	"pfam01660"	"gnl|CDD|366745"	"4.55121e-93"	"7604"	"8542"	"-2"	"pfam01660, Vmethyltransf, Viral methyltransferase.  This RNA methyltransferase domain is found in a wide range of ssRNA viruses, including Hordei-, Tobra-, Tobamo-, Bromo-, Clostero- and Caliciviruses. This methyltransferase is involved in mRNA capping. Capping of mRNA enhances its stability. This usually occurs in the nucleus. Therefore, many viruses that replicate in the cytoplasm encode their own. This is a specific guanine-7-methyltransferase domain involved in viral mRNA cap0 synthesis. Specificity for guanine 7 position is shown by NMR in and in vivo role in cap synthesis. Based on secondary structure prediction, the basic fold is believed to be similar to the common AdoMet-dependent methyltransferase fold. A curious feature of this methyltransferase domain is that it together with flanking sequences seems to have guanylyltransferase activity coupled to the methyltransferase activity. The domain is found throughout the so-called Alphavirus superfamily, (including alphaviruses and several other groups). It forms the defining, unique feature of this superfamily."	"Viruses(1.00);"	"ssRNA viruses(1.00);"	"Betaflexiviridae(0.23);Alphaflexiviridae(0.21);Virgaviridae(0.15);Tymoviridae(0.14);Bromoviridae(0.10);"	"Potexvirus(0.16);Carlavirus(0.11);Tymovirus(0.08);Alphavirus(0.07);Tobamovirus(0.07);"
"SRR10518967_1"	"8714"	"pfam00978"	"gnl|CDD|250270"	"9.93583e-55"	"2444"	"3352"	"-2"	"pfam00978, RdRP_2, RNA dependent RNA polymerase.  This family may represent an RNA dependent RNA polymerase. The family also contains the following proteins: 2A protein from bromoviruses putative RNA dependent RNA polymerase from tobamoviruses Non structural polyprotein from togaviruses."	"Viruses(1.00);"	"ssRNA viruses(1.00);"	"Bromoviridae(0.31);Virgaviridae(0.29);Togaviridae(0.20);Closteroviridae(0.14);(0.03);"	"Alphavirus(0.20);Tobamovirus(0.11);Cucumovirus(0.09);Bromovirus(0.09);Ilarvirus(0.09);"
"SRR10518967_1"	"8714"	"pfam00286"	"gnl|CDD|278703"	"1.91509e-46"	"327"	"680"	"-1"	"pfam00286, Flexi_CP, Viral coat protein.  Family includes coat proteins from Potexviruses and carlaviruses."	"Viruses(1.00);"	"ssRNA viruses(1.00);"	"Alphaflexiviridae(0.62);Betaflexiviridae(0.38);"	"Botrexvirus(0.12);Carlavirus(0.12);Allexivirus(0.12);Potexvirus(0.12);Mandarivirus(0.12);"
"SRR10518967_1"	"8714"	"pfam01443"	"gnl|CDD|366646"	"3.23642e-44"	"1493"	"2083"	"-2"	"pfam01443, Viral_helicase1, Viral (Superfamily 1) RNA helicase.  Helicase activity for this family has been demonstrated and NTPase activity. This helicase has multiple roles at different stages of viral RNA replication, as dissected by mutational analysis."	"Viruses(1.00);"	"ssRNA viruses(0.99);unclassified viruses(0.01);"	"Alphaflexiviridae(0.36);Virgaviridae(0.24);Betaflexiviridae(0.15);Tymoviridae(0.10);Bromoviridae(0.07);"	"Potexvirus(0.26);Allexivirus(0.10);Carlavirus(0.08);Tymovirus(0.08);Tobamovirus(0.08);"
"SRR10518967_1"	"8714"	"pfam01443"	"gnl|CDD|366646"	"3.13519e-07"	"4247"	"4615"	"-2"	"pfam01443, Viral_helicase1, Viral (Superfamily 1) RNA helicase.  Helicase activity for this family has been demonstrated and NTPase activity. This helicase has multiple roles at different stages of viral RNA replication, as dissected by mutational analysis."	"Viruses(1.00);"	"ssRNA viruses(0.99);unclassified viruses(0.01);"	"Alphaflexiviridae(0.36);Virgaviridae(0.24);Betaflexiviridae(0.15);Tymoviridae(0.10);Bromoviridae(0.07);"	"Potexvirus(0.26);Allexivirus(0.10);Carlavirus(0.08);Tymovirus(0.08);Tobamovirus(0.08);"
"SRR10518967_1"	"8714"	"pfam01307"	"gnl|CDD|279627"	"1.12729e-21"	"1171"	"1476"	"-3"	"pfam01307, Plant_vir_prot, Plant viral movement protein.  This family includes several known plant viral movement proteins from a number of different ssRNA plant virus families including potexviruses, hordeiviruses and carlaviruses."	"Viruses(1.00);"	"ssRNA viruses(1.00);"	"Alphaflexiviridae(0.44);Virgaviridae(0.22);Betaflexiviridae(0.22);Benyviridae(0.11);"	"Carlavirus(0.11);Allexivirus(0.11);Lolavirus(0.11);Pomovirus(0.11);Potexvirus(0.11);"
"SRR10518967_10"	"2931"	"pfam00931"	"gnl|CDD|366375"	"2.57307e-17"	"872"	"1567"	"2"	"pfam00931, NB-ARC, NB-ARC domain.  "	"Eukaryota(1.00);"	"(1.00);"	"Brassicaceae(0.86);Solanaceae(0.14);"	"Arabidopsis(0.86);Solanum(0.14);"
"SRR10518967_100"	"1215"	"pfam01128"	"gnl|CDD|334395"	"1.33633e-57"	"345"	"1004"	"-2"	"pfam01128, IspD, 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase.  Members of this family are enzymes which catalyze the formation of 4-diphosphocytidyl-2-C-methyl-D-erythritol from cytidine triphosphate and 2-C-methyl-D-erythritol 4-phosphate (MEP)."	"Bacteria(1.00);"	"(1.00);"	"Rhodobacteraceae(0.25);Merismopediaceae(0.25);Bacillaceae(0.25);Pasteurellaceae(0.25);"	"Haemophilus(0.25);Rhodobacter(0.25);Synechocystis(0.25);Bacillus(0.25);"
"SRR10518967_101"	"1212"	"pfam00141"	"gnl|CDD|365900"	"9.75375e-62"	"275"	"973"	"2"	"pfam00141, peroxidase, Peroxidase.  "	"Eukaryota(0.83);Bacteria(0.15);Archaea(0.02);"	"(1.00);"	"Poaceae(0.34);Brassicaceae(0.15);Fabaceae(0.05);Vitaceae(0.04);Mycobacteriaceae(0.03);"	"Oryza(0.30);Arabidopsis(0.14);Vitis(0.04);Mycobacterium(0.03);Medicago(0.02);"
"SRR10518967_1010"	"1079"	"pfam01926"	"gnl|CDD|366860"	"2.11671e-08"	"313"	"513"	"1"	"pfam01926, MMR_HSR1, 50S ribosome-binding GTPase.  The full-length GTPase protein is required for the complete activity of the protein of interacting with the 50S ribosome and binding of both adenine and guanine nucleotides, with a preference for guanine nucleotide."	"Bacteria(0.76);Eukaryota(0.17);Archaea(0.07);"	"(1.00);"	"Mycoplasmataceae(0.06);Erwiniaceae(0.04);Helicobacteraceae(0.03);Bacillaceae(0.03);Clostridiaceae(0.03);"	"Mycoplasma(0.04);Buchnera(0.03);Prochlorococcus(0.03);Clostridium(0.03);Arabidopsis(0.02);"
"SRR10518967_102"	"1212"	"pfam00230"	"gnl|CDD|333943"	"1.56946e-92"	"273"	"965"	"-2"	"pfam00230, MIP, Major intrinsic protein.  MIP (Major Intrinsic Protein) family proteins exhibit essentially two distinct types of channel properties: (1) specific water transport by the aquaporins, and (2) small neutral solutes transport, such as glycerol by the glycerol facilitators."	"Eukaryota(1.00);"	"(1.00);"	"Brassicaceae(0.38);Solanaceae(0.25);Drosophilidae(0.12);Fabaceae(0.12);Saccharomycetaceae(0.12);"	"Arabidopsis(0.38);Solanum(0.25);Drosophila(0.12);Glycine(0.12);Saccharomyces(0.12);"
"SRR10518967_103"	"1210"	"pfam00459"	"gnl|CDD|334090"	"2.56225e-92"	"331"	"1119"	"-2"	"pfam00459, Inositol_P, Inositol monophosphatase family.  "	"Eukaryota(0.57);Bacteria(0.40);Archaea(0.03);"	"(1.00);"	"Drosophilidae(0.17);Brassicaceae(0.12);Merismopediaceae(0.10);Streptomycetaceae(0.07);Saccharomycetaceae(0.05);"	"Drosophila(0.17);Arabidopsis(0.12);Synechocystis(0.10);Streptomyces(0.07);Mus(0.05);"
"SRR10518967_105"	"1207"	"pfam07992"	"gnl|CDD|369639"	"9.99695e-23"	"10"	"357"	"1"	"pfam07992, Pyr_redox_2, Pyridine nucleotide-disulphide oxidoreductase.  This family includes both class I and class II oxidoreductases and also NADH oxidases and peroxidases. This domain is actually a small NADH binding domain within a larger FAD binding domain."	"Bacteria(0.72);Archaea(0.14);Eukaryota(0.14);"	"(1.00);"	"Enterobacteriaceae(0.07);Mycobacteriaceae(0.07);Archaeoglobaceae(0.07);Pseudomonadaceae(0.06);Bacillaceae(0.04);"	"Mycobacterium(0.07);Archaeoglobus(0.07);Pseudomonas(0.06);Escherichia(0.06);Synechocystis(0.04);"
"SRR10518967_106"	"1205"	"pfam04104"	"gnl|CDD|367815"	"8.21679e-88"	"134"	"775"	"-2"	"pfam04104, DNA_primase_lrg, Eukaryotic and archaeal DNA primase, large subunit.  DNA primase is the polymerase that synthesizes small RNA primers for the Okazaki fragments made during discontinuous DNA replication. DNA primase is a heterodimer of two subunits, the small subunit Pri1 (48 kDa in yeast), and the large subunit Pri2 (58 kDa in the yeast S. cerevisiae). The large subunit of DNA primase forms interactions with the small subunit and the structure implicates that it is not directly involved in catalysis, but plays roles in correctly positioning the primase/DNA complex, and in the transfer of RNA to DNA polymerase."	"Eukaryota(0.62);Archaea(0.36);Viruses(0.03);"	"(0.97);dsDNA viruses, no RNA stage(0.03);"	"Saccharomycetaceae(0.10);Debaryomycetaceae(0.05);Thermococcaceae(0.05);Sulfolobaceae(0.05);Poaceae(0.03);"	"Sulfolobus(0.05);Cryptococcus(0.03);Methanothermobacter(0.03);Cryptosporidium(0.03);Candida(0.03);"
"SRR10518967_107"	"1203"	"pfam03140"	"gnl|CDD|367352"	"5.63292e-70"	"147"	"1202"	"-2"	"pfam03140, DUF247, Plant protein of unknown function.  The function of the plant proteins constituting this family is unknown."	"Eukaryota(1.00);"	"(1.00);"	"Poaceae(0.45);Salicaceae(0.16);Fabaceae(0.10);Brassicaceae(0.10);Solanaceae(0.07);"	"Populus(0.16);Oryza(0.14);Glycine(0.10);Setaria(0.07);Solanum(0.07);"
"SRR10518967_108"	"1192"	"pfam13855"	"gnl|CDD|338972"	"3.6037e-06"	"523"	"696"	"-2"	"pfam13855, LRR_8, Leucine rich repeat.  "	"Eukaryota(1.00);"	"(1.00);"	"Branchiostomidae(0.39);Drosophilidae(0.16);Culicidae(0.12);Tetraodontidae(0.06);Hominidae(0.06);"	"Branchiostoma(0.39);Drosophila(0.16);Culex(0.06);Homo(0.06);Tetraodon(0.06);"
